score_name,score_priority,K_initial,tail_audit,expand_factor,max_expand_rounds,pass_all_lops,mean_l0_truth_calls,max_K_final,max_tail_audit_failure_hits,mean_top100_recall,mean_top200_recall
raw_success_fail,0,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,200,25,1.5,3,True,225.0,200,0,0.7983897196733317,1.0
raw_success_fail,0,200,50,1.5,3,True,250.0,200,0,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,200,50,1.5,3,True,250.0,200,0,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,200,50,1.5,3,True,250.0,200,0,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,200,50,1.5,3,True,250.0,200,0,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,200,50,1.5,3,True,250.0,200,0,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,200,50,1.5,3,True,250.0,200,0,0.7983897196733317,1.0
