score_name,method_family,score_priority,K_initial,tail_audit,expand_factor,max_expand_rounds,n_lops,pass_all_lops,mean_l0_truth_calls,max_K_final,max_tail_audit_failure_hits,mean_top100_recall,mean_top200_recall
raw_success_fail,raw_success_fail,0,200,25,1.25,3,6,True,225.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,25,1.5,3,6,True,225.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,25,2.0,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,200,25,1.25,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,200,25,1.5,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,200,25,2.0,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,200,25,1.25,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,200,25,1.5,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,200,25,2.0,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,200,25,1.25,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,200,25,1.5,3,6,True,225.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,200,25,2.0,3,6,True,225.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,50,1.25,3,6,True,250.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,50,1.5,3,6,True,250.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,50,2.0,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,200,50,1.25,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,200,50,1.5,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,200,50,2.0,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,200,50,1.25,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,200,50,1.5,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,200,50,2.0,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,200,50,1.25,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,200,50,1.5,3,6,True,250.0,200,0,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,200,50,2.0,3,6,True,250.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,75,1.25,3,6,True,275.0,200,0,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,200,75,1.5,3,6,True,275.0,200,0,0.7983897196733317,1.0
