row_type,total_proposals,stage1_accept_count,stage1_accept_rate,truth_evaluated_count,truth_evaluated_rate,final_accept_count,final_accept_rate,reverse_proxy_reject_count,reverse_proxy_reject_rate,level,proposals,n,acopf_failed_count,acopf_safe_count,failed_fraction,final_reject_count,field,missing,finite,+inf,-inf,min,q25,q50,q75,q90,q95,q99,max,stage1_accept,truth_evaluated,final_accept,count,reverse_proxy_reject,truth_failed_proposal
overall,850,282,0.33176470588235296,282,0.33176470588235296,192,0.22588235294117648,25,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,
by_level,,282,0.33176470588235296,282,0.33176470588235296,192,0.22588235294117648,25,0.029411764705882353,1,850,,,,,,,,,,,,,,,,,,,,,,,,
truth_evaluated_subset,,,,,,192,,25,,,,282,282,0,1.0,90,,,,,,,,,,,,,,,,,,,
non_truth_subset,,,,,,,,,,,,568,,,,,,,,,,,,,,,,,,,,,,,
distribution,,,,,,,,,,,,,,,,,proxy_score_proposal,0,568,282,0,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,,,,,,
distribution,,,,,,,,,,,,,,,,,truth_score_proposal,568,0,282,0,,,,,,,,,,,,,,
distribution,,,,,,,,,,,,,,,,,reverse_proxy_score,568,25,257,0,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,-0.06000000000000005,,,,,,
distribution,,,,,,,,,,,,,,,,,truth_score_current,0,460,390,0,-2.0556628399504007e-08,-2.0556628399504007e-08,-1.9044116394972832e-08,-1.729247101067699e-08,-1.2236550661626211e-08,-9.744608009398803e-09,-8.447316401927196e-09,-8.447316401927196e-09,,,,,,
rel_stage1_truth_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,568,,
rel_stage1_truth_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,90,,
rel_stage1_truth_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,192,,
rel_reverse_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,633,False,
rel_reverse_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,192,False,
rel_reverse_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25,True,
rel_truthfailed_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,568,,
rel_truthfailed_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,90,,True
rel_truthfailed_final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,192,,True
